#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:45.771
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0001289995918367347,-0.5159054673846128,-0.0095590157828216
-0.0001289795918367347,-0.5333321224209806,-0.010916774142143756
-0.0001289595918367347,-0.5035057320702538,-0.010237894962482987
-0.0001289395918367347,-0.5008247082185032,-0.010237894962482987
-0.0001289195918367347,-0.4787062614415328,-0.00921957619299137
-0.0001288995918367347,-0.4642957582383667,-0.010237894962482987
-0.0001288795918367347,-0.4515608949425395,-0.009219576192990598
-0.0001288595918367347,-0.45122576696107003,-0.008880136603160522
-0.0001288395918367347,-0.4498852550351941,-0.0095590157828216
-0.0001288195918367347,-0.4264262963323525,-0.007861817833668286
-0.0001287995918367347,-0.4210642486288489,-0.008201257423498825
-0.00012877959183673468,-0.4076591293700708,-0.007861817833667822
-0.0001287595918367347,-0.3935837541483695,-0.007522378243838055
-0.0001287395918367347,-0.370124795445541,-0.008880136603160213
-0.0001287195918367347,-0.35504403627941883,-0.007182938654006127
-0.0001286995918367347,-0.34264430096505677,-0.006504059474345358
-0.0001286795918367347,-0.3084612468552365,-0.006504059474345358
-0.0001286595918367347,-0.3171745743734118,-0.006843499064175742
-0.0001286395918367347,-0.30276407117024573,-0.006164619884514664
-0.00012861959183673469,-0.29237510374470177,-0.007182938654006436
-0.0001285995918367347,-0.2913697198002814,-0.006843499064175588
-0.0001285795918367347,-0.2608730734866044,-0.00582518029468397
-0.0001285595918367347,-0.24713282624635544,-0.005485740704852968
-0.0001285395918367347,-0.2310466831358518,-0.005146301115022583
-0.0001285195918367347,-0.22266848359912733,-0.005146301115022583
-0.0001284995918367347,-0.21931720378442324,-0.00582518029468397
-0.0001284795918367347,-0.19954465287775353,-0.00582518029468397
-0.0001284595918367347,-0.1874800455448462,-0.0037885427557004265
-0.0001284395918367347,-0.1670372386752323,-0.004467421935361351
-0.0001284195918367347,-0.1328541845653965,-0.00480686152519189
-0.0001283995918367347,-0.14190264006505662,-0.004806861525191581
-0.0001283795918367347,-0.12782726484335954,-0.004127982345530502
-0.00012835959183673469,-0.10403317815906162,-0.003449103165870042
-0.0001283395918367347,-0.11542752952899012,-0.004467421935360733
-0.0001283195918367347,-0.08995780293734776,-0.0034491031658691156
-0.0001282995918367347,-0.07856345156739032,-0.0034491031658691156
-0.0001282795918367347,-0.07085550799360169,-0.0034491031658688068
