#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:42.655
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00012899103448275862,-0.5360131462727606,-0.012274532501467147
-0.00012897103448275863,-0.5262944348101604,-0.012613972091297687
-0.00012895103448275861,-0.5078623958293562,-0.012613972091297842
-0.00012893103448275862,-0.5132244435328573,-0.012613972091297842
-0.00012891103448275863,-0.4797116453859772,-0.011256213731976302
-0.00012889103448275862,-0.46898754997893455,-0.01159565332180576
-0.00012887103448275863,-0.4482096151278579,-0.01159565332180576
-0.00012885103448275864,-0.44150705549847197,-0.010577334552314606
-0.00012883103448275862,-0.42542091238794755,-0.009898455372652293
-0.00012881103448275863,-0.418718352758568,-0.010577334552313371
-0.00012879103448275862,-0.4203939926659106,-0.010237894962482987
-0.00012877103448275863,-0.40531323349980664,-0.009898455372652448
-0.00012875103448275864,-0.39525939405573496,-0.009559015782821909
-0.00012873103448275862,-0.3922432422225036,-0.0095590157828216
-0.00012871103448275863,-0.36174659590882663,-0.0095590157828216
-0.0001286910344827586,-0.34331455692801083,-0.00752237824383821
-0.00012867103448275862,-0.3439848128909485,-0.009219576192990134
-0.00012865103448275863,-0.33795250922451,-0.009219576192990906
-0.00012863103448275862,-0.32153123813251705,-0.008540697013329518
-0.00012861103448275863,-0.2953912555779367,-0.008540697013329518
-0.00012859103448275864,-0.2648946092642617,-0.008540697013329518
-0.00012857103448275862,-0.2451220583575553,-0.006843499064176051
-0.00012855103448275863,-0.23640873083936187,-0.006843499064176051
-0.00012853103448275861,-0.23305745102466657,-0.006504059474345358
-0.00012851103448275863,-0.20758772443302423,-0.006164619884514819
-0.00012849103448275864,-0.22166309965470335,-0.007522378243836203
-0.00012847103448275862,-0.2049067005812596,-0.006504059474345358
-0.00012845103448275863,-0.19183670930396945,-0.00548574070485374
-0.0001284310344827586,-0.18446389371164096,-0.007182938654006436
-0.00012841103448275862,-0.1807774859154822,-0.006504059474345358
-0.00012839103448275863,-0.17508031023051215,-0.005485740704854203
-0.00012837103448275862,-0.13855136025037174,-0.005485740704853277
-0.00012835103448275863,-0.12481111301014361,-0.005146301115022738
-0.00012833103448275864,-0.10436830614053899,-0.004806861525192199
-0.00012831103448275862,-0.09833600247407603,-0.005146301115022583
-0.00012829103448275863,-0.06884474010480593,-0.0041279823455309655
-0.00012827103448275861,-0.06716910019744718,-0.0048068615251917355
-0.00012825103448275862,-0.06783935616038483,-0.004467421935361351
-0.00012823103448275863,-0.049742445161068544,-0.004127982345530811
-0.00012821103448275862,-0.03365630205053381,-0.0044674219353611965
-0.00012819103448275863,-0.0048352956442016815,-0.004127982345530657
-0.00012817103448275864,0.031023398372975797,-0.0024307843963785785
