#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:44.014
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00012899818181818184,-0.5216026430695981,-0.011595653321806069
-0.00012897818181818182,-0.5105434196811067,-0.011256213731975067
-0.0001289581818181818,-0.4968031724408794,-0.010577334552315224
-0.0001289381818181818,-0.5045111160146486,-0.012274532501466838
-0.00012891818181818182,-0.47434959768244067,-0.01159565332180576
-0.00012889818181818183,-0.46228499034955745,-0.010577334552314143
-0.00012887818181818182,-0.45156089494253976,-0.009898455372652293
-0.00012885818181818183,-0.46396063025689194,-0.012613972091296607
-0.0001288381818181818,-0.444188079350207,-0.010577334552313371
-0.00012881818181818182,-0.4180480967956267,-0.009898455372652293
-0.00012879818181818183,-0.42039399266590954,-0.009219576192991215
-0.00012877818181818181,-0.41469681698092614,-0.010577334552313526
-0.00012875818181818182,-0.39425401011131844,-0.010237894962482987
-0.0001287381818181818,-0.3587304440755869,-0.008540697013329981
-0.00012871818181818182,-0.35068737252033144,-0.0095590157828216
-0.00012869818181818183,-0.3523630124276763,-0.00921957619299106
-0.00012867818181818184,-0.3295743096877969,-0.008880136603160522
-0.00012865818181818182,-0.31717457437341834,-0.008880136603160213
-0.0001286381818181818,-0.30443971107757645,-0.008201257423498207
-0.00012861818181818182,-0.28801843998560067,-0.007522378243837592
-0.00012859818181818183,-0.28064562439328644,-0.007861817833667977
-0.00012857818181818184,-0.27628896063418834,-0.007861817833668131
-0.00012855818181818182,-0.25685153770897484,-0.007861817833668131
-0.0001285381818181818,-0.23674385882081636,-0.00820125742349759
-0.0001285181818181818,-0.22501437946939495,-0.006843499064176205
-0.00012849818181818182,-0.19753388498893873,-0.007182938654006744
-0.00012847818181818183,-0.18312338178577267,-0.007182938654006744
-0.00012845818181818182,-0.18111261389695132,-0.005485740704853277
