#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:47.463
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00012899223529411766,-0.5199270031622424,-0.006504059474345358
-0.00012897223529411764,-0.5303159705877736,-0.006164619884514973
-0.00012895223529411765,-0.5172459793104958,-0.006504059474345358
-0.00012893223529411766,-0.5313213545321864,-0.006504059474345358
-0.00012891223529411765,-0.5145649554587146,-0.005825180294683661
-0.00012889223529411766,-0.46664165410865066,-0.005146301115022583
-0.00012887223529411764,-0.4599390944792494,-0.007182938654004892
-0.00012885223529411765,-0.43949628760963916,-0.005146301115022738
-0.00012883223529411766,-0.4133563050550589,-0.005485740704853277
-0.00012881223529411764,-0.41201579312918296,-0.00514630111502212
-0.00012879223529411765,-0.4133563050550589,-0.004127982345530502
-0.00012877223529411764,-0.39794041790747764,-0.004467421935360888
-0.00012875223529411765,-0.39659990598159867,-0.004127982345530657
-0.00012873223529411766,-0.3885568344263432,-0.0044674219353611965
-0.00012871223529411764,-0.37883812296370795,-0.0037885427557004265
-0.00012869223529411765,-0.3453253248168296,-0.004467421935361042
-0.00012867223529411766,-0.3547089082979567,-0.004127982345530657
-0.00012865223529411765,-0.33426610142833896,-0.0037885427556995
-0.00012863223529411766,-0.3232068780398627,-0.003109663576038422
-0.00012861223529411764,-0.29036433585587995,-0.0017519052167162652
-0.00012859223529411765,-0.28165100833767576,-0.002430784396377035
-0.00012857223529411766,-0.24914359413518486,-0.002430784396377035
-0.00012855223529411764,-0.25215974596837987,-0.0027702239862064937
-0.00012853223529411765,-0.2223333556176544,-0.0014124656268849544
-0.00012851223529411766,-0.2223333556176544,-0.0027702239862071112
-0.00012849223529411765,-0.21261464415504092,-0.0007335864472234129
-0.00012847223529411766,-0.19351234921130916,-0.00039414685739287377
-0.00012845223529411764,-0.1881503015077729,-0.0007335864472229498
-0.00012843223529411765,-0.15497263134235303,-5.4707267562025876e-05
-0.00012841223529411766,-0.14156751208359392,0.0002847323222685133
-0.00012839223529411765,-0.13050828869510617,-0.00039414685739256504
-0.00012837223529411766,-0.11643291347340909,0.0002847323222685133
-0.00012835223529411764,-0.11810855338074254,0.0006241719120992069
-0.00012833223529411765,-0.10470343412197107,0.0006241719120993613
-0.00012831223529411766,-0.0641529483642247,0.0009636115019299004
-0.00012829223529411764,-0.07253114790094504,0.002321369861251131
-0.00012827223529411765,-0.06381782038275619,0.0006241719120995156
-0.00012825223529411766,-0.0651583323086315,0.001303051091760285
-0.00012823223529411765,-0.04236962956871247,0.000963611501929746
-0.00012821223529411766,-0.001148887848028136,0.0006241719120992069
-0.00012819223529411764,0.002537519948145408,0.0016424906815909787
-0.00012817223529411765,0.016948023151311324,0.0013030510917609026
-0.00012815223529411766,0.03102339837300841,0.001981930271421981
-0.00012813223529411764,0.040742109835638196,0.00367912822057514
-0.00012811223529411765,0.06822260431608193,0.003339688630744755
-0.00012809223529411764,0.08263310751924662,0.002660809451083677
-0.00012807223529411765,0.07391978000105608,0.0030002490409140616
