#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:47.227
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0001289823300970874,-0.5055164999590698,-0.003788542755699809
-0.00012896233009708738,-0.5058516279405472,-0.0041279823455301935
-0.0001289423300970874,-0.5149000834401971,-0.0037885427556996545
-0.0001289223300970874,-0.4964680444594117,-0.00344910316586927
-0.00012890233009708738,-0.4830629252006234,-0.004127982345530348
-0.0001288823300970874,-0.4508906389796015,-0.003788542755699809
-0.00012886233009708737,-0.45692294264603645,-0.004467421935359344
-0.00012884233009708738,-0.4465339752204955,-0.002430784396377498
-0.0001288223300970874,-0.43044783210998455,-0.0034491031658691156
-0.00012880233009708738,-0.4093347692774308,-0.0024307843963779613
-0.0001287823300970874,-0.4126860490921206,-0.0044674219353611965
-0.00012876233009708737,-0.41201579312914915,-0.0017519052167156478
-0.00012874233009708738,-0.3754868431490354,-0.0017519052167156478
-0.0001287223300970874,-0.34968198857592403,-0.0017519052167156478
-0.00012870233009708738,-0.33895789316889996,-0.0017519052167162652
-0.00012868233009708739,-0.32588790189161027,-0.002430784396377035
-0.0001286623300970874,-0.31382329455873254,-0.002430784396377035
-0.00012864233009708738,-0.3161691904289963,-0.002430784396377035
-0.0001286223300970874,-0.2839969042079744,-0.002430784396377035
-0.00012860233009708737,-0.27662408861565563,-0.0024307843963788872
-0.00012858233009708738,-0.2789699844859315,-0.004467421935360579
-0.0001285623300970874,-0.2658999932086414,-0.003109663576038422
-0.00012854233009708738,-0.2535002578942564,-0.0034491031658694243
-0.0001285223300970874,-0.2236738675435309,-0.003788542755699809
-0.0001285023300970874,-0.21529566800680647,-0.003788542755699809
-0.00012848233009708738,-0.18178286985989386,-0.0024307843963776526
