#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:46.251
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0001289936170212766,-0.523948538939872,-0.019063324298081018
-0.0001289736170212766,-0.5138946994958026,-0.019063324298081018
-0.00012895361702127658,-0.505181371977603,-0.019742203477742252
-0.0001289336170212766,-0.5102082916996353,-0.019402763887911866
-0.0001289136170212766,-0.47937651740450565,-0.019402763887911713
-0.0001288936170212766,-0.46194986236808283,-0.01838444511841963
-0.0001288736170212766,-0.44150705549847513,-0.018045005528589092
-0.0001288536170212766,-0.42944244816558813,-0.017705565938758553
-0.0001288336170212766,-0.43044783210998455,-0.01804500552858894
-0.0001288136170212766,-0.4213993766103221,-0.01804500552858894
-0.00012879361702127659,-0.42508578440647843,-0.017705565938758244
-0.0001287736170212766,-0.40631861744421566,-0.018045005528588787
-0.0001287536170212766,-0.40832938533302005,-0.017705565938758553
-0.0001287336170212766,-0.40430784955539234,-0.017705565938758244
-0.0001287136170212766,-0.3674437715938047,-0.016687247169266624
-0.00012869361702127658,-0.35236301242767437,-0.016008367989605393
-0.0001286736170212766,-0.34633070876123545,-0.01736612634892693
-0.0001286536170212766,-0.3436496849094821,-0.01668724716926678
-0.0001286336170212766,-0.3275635417989614,-0.015668928399774084
-0.0001286136170212766,-0.2967317675038154,-0.016008367989604623
-0.0001285936170212766,-0.2900292078744249,-0.016347807579435162
-0.0001285736170212766,-0.25316512991281437,-0.01634780757943547
-0.0001285536170212766,-0.23841949872817939,-0.015329488809943852
-0.00012853361702127659,-0.23406283496907399,-0.015329488809943389
-0.0001285136170212766,-0.21194438819212139,-0.015329488809943389
-0.0001284936170212766,-0.22333873956205144,-0.016008367989604158
-0.0001284736170212766,-0.20557695654419786,-0.014990049220112696
-0.0001284536170212766,-0.18010722995255551,-0.014650609630282157
-0.00012843361702127658,-0.1804423579340059,-0.015329488809943234
-0.0001284136170212766,-0.16469134280496392,-0.014990049220112696
-0.0001283936170212766,-0.15731852721264977,-0.01532948880994308
-0.0001283736170212766,-0.13318931254686564,-0.014990049220112696
-0.0001283536170212766,-0.10704932999228531,-0.014990049220112696
-0.0001283336170212766,-0.10135215430730339,-0.013971730450621542
-0.0001283136170212766,-0.0805742194562121,-0.013292851270959229
-0.0001282936170212766,-0.06582858827157707,-0.009898455372653837
-0.00012827361702127658,-0.06147192451247212,-0.0017519052167099365
-0.0001282536170212766,-0.06247730845687859,0.010807359607014302
-0.0001282336170212766,-0.05208834103134545,0.013862315915493476
-0.0001282136170212766,-0.024607846550867285,0.011146799196850707
-0.0001281936170212766,-0.0011488878480388036,0.010807359607020168
-0.0001281736170212766,0.019293919021570242,0.010128480427359244
-0.0001281536170212766,0.018958791040119705,0.009789040837527933
-0.0001281336170212766,0.03973672589119637,0.012843997146002784
-0.00012811361702127659,0.05716338092760061,0.013522876325665562
-0.0001280936170212766,0.06386594055698017,0.011146799196851787
-0.0001280736170212766,0.0856492593524569,0.010128480427359553
-0.0001280536170212766,0.10676232218503195,0.007412963708713078
-0.0001280336170212766,0.11245949787000457,0.006734084529052
-0.00012801361702127658,0.12385384923995976,0.005036886579897914
-0.0001279936170212766,0.12854564098052543,0.0043580074002368355
-0.0001279736170212766,0.14932357583159264,0.004018567810406451
-0.0001279536170212766,0.1513343437204263,0.007412963708713078
-0.0001279336170212766,0.1794850941638205,0.011486238786679547
-0.0001279136170212766,0.2093114845145588,0.012843997146002938
-0.0001278936170212766,0.22606788358804247,0.013862315915496255
-0.0001278736170212766,0.2166843001069111,0.01182567837651302
-0.00012785361702127659,0.22908403542126465,0.01046792001718932
-0.0001278336170212766,0.2532132500870311,0.011146799196850398
-0.0001278136170212766,0.27667220878985993,0.01216511796634186
-0.0001277936170212766,0.2927583519003995,0.013183436735834868
-0.0001277736170212766,0.3132011587700072,0.013183436735834868
-0.00012775361702127658,0.3044878312518221,0.012843997146004173
-0.0001277336170212766,0.3111903908812017,0.012843997146004173
-0.0001277136170212766,0.31588218262176526,0.011486238786682635
-0.0001276936170212766,0.3497301087501517,0.0114862387866814
-0.0001276736170212766,0.37385932341591815,0.013183436735834097
