#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:45.262
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00012899541984732826,-0.542045449939205,-0.01736612634892755
-0.00012897541984732824,-0.5376887861800902,-0.01532948880994308
-0.00012895541984732825,-0.5199270031622387,-0.014990049220113313
-0.00012893541984732826,-0.511883931606987,-0.016347807579434853
-0.00012891541984732824,-0.4817224132747545,-0.015329488809943698
-0.00012889541984732825,-0.4663065261271815,-0.016008367989604776
-0.00012887541984732824,-0.45223115090546495,-0.015329488809943389
-0.00012885541984732825,-0.43782064770229717,-0.01532948880994308
-0.00012883541984732826,-0.41972373670297236,-0.014650609630282002
-0.00012881541984732824,-0.4083293853330167,-0.014990049220112387
-0.00012879541984732825,-0.39693503396307145,-0.014311170040451309
-0.00012877541984732824,-0.40631861744420467,-0.014650609630281385
-0.00012875541984732825,-0.4036375935924399,-0.01397173045062077
-0.00012873541984732826,-0.37247069131582494,-0.014311170040451309
-0.00012871541984732824,-0.35738993214969605,-0.013292851270959229
-0.00012869541984732825,-0.33761738124302126,-0.013292851270959383
-0.00012867541984732826,-0.30678560694788937,-0.013632290860789768
-0.00012865541984732824,-0.317174574373406,-0.014311170040451618
-0.00012863541984732825,-0.29002920787441877,-0.014990049220112696
-0.00012861541984732824,-0.2937156156705667,-0.01193509291163738
-0.00012859541984732825,-0.27997536843034515,-0.01295341168112869
-0.00012857541984732826,-0.2806456243932831,-0.013292851270959229
-0.00012855541984732824,-0.2518246179869266,-0.012613972091297224
-0.00012853541984732825,-0.23942488267258005,-0.011935092911636453
-0.00012851541984732826,-0.22635489139528991,-0.011595653321805914
-0.00012849541984732824,-0.20624721250713643,-0.011595653321806069
-0.00012847541984732826,-0.2069174684700744,-0.012274532501467147
-0.00012845541984732824,-0.18312338178577434,-0.010577334552315841
-0.00012843541984732825,-0.19217183728543294,-0.012953411681127609
-0.00012841541984732826,-0.1928420932483709,-0.010916774142144373
-0.00012839541984732824,-0.1650264707864213,-0.011595653321805451
-0.00012837541984732825,-0.13922161621331,-0.010916774142144373
-0.00012835541984732824,-0.11274650567723432,-0.009219576192990906
-0.00012833541984732825,-0.0969954905482056,-0.00921957619299106
-0.00012831541984732826,-0.11040060980696473,-0.0095590157828216
-0.00012829541984732824,-0.09934138641845598,-0.009898455372652293
-0.00012827541984732825,-0.06917986808625619,-0.00989845537265183
-0.00012825541984732826,-0.05711526075337845,-0.008880136603160676
-0.00012823541984732824,-0.05141808506839561,-0.008540697013329981
-0.00012821541984732825,-0.04672629332782991,-0.0095590157828216
-0.00012819541984732824,-0.009191959403254964,-0.008201257423498516
-0.00012817541984732825,0.026331606632437228,-0.007861817833667977
-0.00012815541984732826,0.018958791040119705,-0.007522378243837438
-0.00012813541984732824,0.025661350669523044,-0.008201257423498825
-0.00012811541984732825,0.048450053409403206,-0.008201257423498825
-0.00012809541984732824,0.07693593183430707,-0.00752237824383682
-0.00012807541984732825,0.10743257814796915,-0.006843499064175897
-0.00012805541984732826,0.1050866822776863,-0.006504059474345358
-0.00012803541984732824,0.12452410520291902,-0.0068434990641754335
-0.00012801541984732825,0.14999383179454523,-0.006164619884514664
-0.00012799541984732826,0.13993999235047588,-0.006164619884514664
-0.00012797541984732824,0.1422858882207755,-0.005825180294683198
-0.00012795541984732825,0.17680407031208026,-0.004127982345530502
-0.00012793541984732824,0.1794850941638397,-0.004467421935361505
-0.00012791541984732825,0.18652278177469434,-0.004806861525192044
-0.00012789541984732826,0.206965588644302,-0.005146301115022583
-0.00012787541984732824,0.22841377945834865,-0.0044674219353611965
-0.00012785541984732825,0.2528781221055729,-0.0044674219353611965
-0.00012783541984732826,0.25790504182760765,-0.0037885427557001177
-0.00012781541984732824,0.2629319615496557,-0.003449103165868961
-0.00012779541984732826,0.28236938447485643,-0.003109663576038422
-0.00012777541984732824,0.28873681612278396,-0.0034491031658691156
-0.00012775541984732825,0.30415270327036137,-0.003449103165868189
-0.00012773541984732826,0.32928730188053473,-0.0014124656268849544
-0.00012771541984732824,0.3215793583067534,-0.003109663576038422
-0.00012769541984732825,0.3406816532504852,-0.003109663576038422
-0.00012767541984732824,0.3728539394715315,-0.0024307843963761087
-0.00012765541984732825,0.3835780348785274,-0.0014124656268854176
-0.00012763541984732826,0.3691675316753613,-0.002430784396377035
-0.00012761541984732824,0.39564264221145495,-0.001751905216715339
-0.00012759541984732825,0.43116620824714985,-0.0014124656268849544
-0.00012757541984732826,0.42982569632127454,-0.0014124656268849544
-0.00012755541984732824,0.43786876787653495,-0.001073026037053952
-0.00012753541984732825,0.44189030365416265,-0.00039414685739287377
-0.00012751541984732824,0.44222543163566774,-0.002091344806545107
-0.00012749541984732825,0.48177053344898696,-0.0007335864472235673
-0.00012747541984732826,0.47674361372695223,-0.0007335864472235673
-0.00012745541984732824,0.4861271972080943,0.0006241719120982808
-0.00012743541984732825,0.49316488481893966,-0.00039414685739287377
-0.00012741541984732826,0.5246669150770236,0.0013030510917598223
-0.00012739541984732825,0.5199751233364881,0.00062417191209967
-0.00012737541984732826,0.5595202251498276,0.0016424906815912875
-0.00012735541984732824,0.561530993038649,0.0019819302714216723
-0.00012733541984732825,0.5689038086309638,0.0016424906815914418
-0.00012731541984732826,0.5702443205568397,0.001981930271421981
