#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:47.389
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00012899137931034484,-0.5112136756440451,-0.011935092911636453
-0.00012897137931034482,-0.4951275325335182,-0.012613972091296916
-0.00012895137931034483,-0.4857439490523978,-0.011595653321805606
-0.00012893137931034484,-0.5004895802370262,-0.011256213731975221
-0.00012891137931034482,-0.4730090857565585,-0.011595653321805297
-0.00012889137931034484,-0.4606093504422063,-0.01057733455231368
-0.00012887137931034482,-0.4441880793502295,-0.011595653321805142
-0.00012885137931034483,-0.4559175587016322,-0.010916774142144064
-0.00012883137931034484,-0.4421773114614041,-0.010237894962482987
-0.00012881137931034482,-0.42307501651766277,-0.011256213731974449
-0.00012879137931034483,-0.4210642486288489,-0.009898455372652293
-0.00012877137931034482,-0.40698887340712436,-0.011935092911634292
-0.00012875137931034483,-0.38386504268576455,-0.009559015782822063
-0.00012873137931034484,-0.3600709560014671,-0.01057733455231368
-0.00012871137931034482,-0.35604942022383446,-0.008880136603160522
-0.00012869137931034483,-0.35269814040913144,-0.00921957619299106
-0.00012867137931034484,-0.3201907262066553,-0.009559015782821445
-0.00012865137931034482,-0.3134881665772552,-0.008201257423499442
-0.00012863137931034483,-0.30745586291081356,-0.0095590157828216
-0.00012861137931034482,-0.29103459181881763,-0.007861817833669058
-0.00012859137931034483,-0.2816510083376809,-0.00888013660315975
-0.00012857137931034484,-0.26053794550513526,-0.007861817833668131
-0.00012855137931034482,-0.2545056418386714,-0.00786181783366844
-0.00012853137931034483,-0.23305745102466657,-0.008201257423498825
-0.00012851137931034484,-0.22065771571031437,-0.008201257423498825
-0.00012849137931034483,-0.20993362030328774,-0.007182938654006744
-0.00012847137931034484,-0.19049619737808698,-0.007182938654006744
-0.00012845137931034482,-0.18714491756335544,-0.007861817833666587
-0.00012843137931034483,-0.14290802400946662,-0.0061646198845143555
-0.00012841137931034484,-0.13452982447274217,-0.005485740704853277
-0.00012839137931034482,-0.12782726484335086,-0.005146301115022738
-0.00012837137931034483,-0.10872496989961908,-0.005485740704853277
-0.00012835137931034482,-0.08627139514118704,-0.005146301115022892
-0.00012833137931034483,-0.08593626715971804,-0.005485740704853431
-0.00012831137931034484,-0.08560113917824907,-0.00582518029468397
-0.00012829137931034482,-0.07856345156739093,-0.004806861525193434
-0.00012827137931034483,-0.07152576395652395,-0.006504059474344277
-0.00012825137931034484,-0.023937590587950662,-0.004127982345531583
-0.00012823137931034482,-0.01689990297706387,-0.003788542755699809
-0.00012821137931034483,0.012591359392206222,-0.003788542755699809
-0.00012819137931034482,0.022980326817751712,-0.0037885427557007353
-0.00012817137931034483,0.025661350669516338,-0.004806861525190655
-0.00012815137931034484,0.05649312496466234,-0.0020913448065463416
-0.00012813137931034482,0.056493124964676365,-0.003109663576037496
-0.00012811137931034483,0.07190901211224235,-0.0020913448065463416
-0.00012809137931034482,0.08766002724128905,-0.0024307843963764174
-0.00012807137931034483,0.08497900338955308,-0.0017519052167154934
-0.00012805137931034484,0.117151289610575,-0.0014124656268849544
-0.00012803137931034482,0.12988615290639585,-0.0007335864472244934
-0.00012801137931034483,0.12318359327702134,-0.001751905216715339
-0.00012799137931034484,0.12754025703611804,-0.0010730260370542608
-0.00012797137931034482,0.1573666473868795,-0.0003941468573924107
-0.00012795137931034483,0.17680407031208026,0.0006241719120992069
-0.00012793137931034482,0.18015535012679107,-0.002091344806545107
-0.00012791137931034483,0.20160354094080385,-0.0007335864472232586
-0.00012789137931034484,0.21903019597719073,-5.470726756218023e-05
-0.00012787137931034482,0.24885658632793634,0.0013030510917590502
-0.00012785137931034483,0.24114864275415335,-0.00039414685739287377
-0.00012783137931034484,0.2418188987170913,0.000963611501929283
-0.00012781137931034483,0.2689642652161103,0.000963611501930209
-0.00012779137931034484,0.31085526289973253,0.0016424906815912875
-0.00012777137931034482,0.31822807849204426,0.000963611501930209
-0.00012775137931034483,0.3081742390479791,0.001303051091761057
-0.00012773137931034484,0.3071688551035721,0.0023213698612526744
-0.00012771137931034482,0.33598986150992666,0.003000249040913753
-0.00012769137931034483,0.35643266837953436,0.0023213698612526744
-0.00012767137931034482,0.37285393947152506,0.00198193027142229
-0.00012765137931034483,0.3765403472676879,0.0023213698612526744
-0.00012763137931034484,0.38927521056350917,0.0023213698612526744
-0.00012761137931034482,0.40133981789639633,0.003000249040914679
-0.00012759137931034483,0.3996641779890597,0.0036791282205749856
-0.00012757137931034484,0.4160854490810322,0.0026608094510838314
