#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD996C
#Date Time: 2025-12-07 12:58:46.412
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: noisy
#Frequency: 117 kHz
#Period: 8.547008547 us
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0001289840366972477,-0.5182513632548967,-0.013292851270959229
-0.0001289640366972477,-0.5108785476625832,-0.012953411681127918
-0.0001289440366972477,-0.5189216192178256,-0.012274532501467456
-0.0001289240366972477,-0.4981436843667584,-0.012953411681128226
-0.00012890403669724772,-0.4833980531821206,-0.011595653321806995
-0.0001288840366972477,-0.4535716628313545,-0.010916774142144373
-0.0001288640366972477,-0.4599390944792366,-0.012274532501465603
-0.0001288440366972477,-0.42542091238794727,-0.010577334552313217
-0.0001288240366972477,-0.4247506564250093,-0.0095590157828216
-0.00012880403669724772,-0.3955945220372082,-0.011256213731974295
-0.0001287840366972477,-0.40229708166657757,-0.010916774142144373
-0.0001287640366972477,-0.4100050252403566,-0.010577334552313062
-0.0001287440366972477,-0.39794041790745965,-0.009898455372652602
-0.0001287240366972477,-0.3557142922423684,-0.01057733455231368
-0.00012870403669724772,-0.3379525092245126,-0.009219576192991524
-0.0001286840366972477,-0.3245473899657347,-0.009559015782821137
-0.0001286640366972477,-0.3144935505216699,-0.008540697013329981
-0.0001286440366972477,-0.31683944639193506,-0.009898455372651984
-0.0001286240366972477,-0.28567254411532006,-0.009219576192990906
-0.00012860403669724772,-0.2896940798929478,-0.00752237824383821
-0.00012858403669724773,-0.2836617762265108,-0.009219576192989362
-0.0001285640366972477,-0.27494844870830787,-0.007861817833668131
-0.0001285440366972477,-0.26187845743097826,-0.008201257423498825
-0.0001285240366972477,-0.22501437946940744,-0.008201257423498825
-0.0001285040366972477,-0.2055769565442067,-0.008201257423498825
-0.00012848403669724772,-0.18010722995256712,-0.006504059474346902
-0.0001284640366972477,-0.1874800455448648,-0.007861817833668131
-0.0001284440366972477,-0.17541543821195082,-0.00752237824383682
-0.0001284240366972477,-0.1475998157500314,-0.006843499064175897
-0.0001284040366972477,-0.13251905658392737,-0.006504059474345358
-0.00012838403669724772,-0.10637907402935894,-0.007182938654006127
-0.0001283640366972477,-0.10537369008492778,-0.005146301115022583
-0.0001283440366972477,-0.07889857954885365,-0.004806861525191581
-0.0001283240366972477,-0.06482320432716479,-0.00446742193536166
-0.0001283040366972477,-0.06884474010479252,-0.005485740704853277
-0.00012828403669724772,-0.05778551671631625,-0.004806861525192199
-0.0001282640366972477,-0.03700758186522192,-0.005485740704852968
-0.0001282440366972477,-0.02996989425437658,-0.004806861525192199
-0.0001282240366972477,-0.021591694717624534,-0.004467421935360579
-0.0001282040366972477,0.023650582780687535,-0.003109663576038422
-0.00012818403669724772,0.03236391029888097,-0.003109663576038422
-0.00012816403669724773,0.039066469928261446,-0.0037885427556991914
-0.0001281440366972477,0.046774413502057556,-0.0034491031658691156
-0.0001281240366972477,0.06956311624197306,-0.0037885427556995
-0.0001281040366972477,0.08564925935247672,-0.0034491031658691156
-0.00012808403669724771,0.09067617907451138,-0.002430784396377498
-0.00012806403669724772,0.1091082180552991,-0.0017519052167162654
-0.0001280440366972477,0.13089153685080934,-0.0027702239862077284
-0.0001280240366972477,0.13859948042458442,-0.0020913448065466504
-0.0001280040366972477,0.122178209332615,-0.0024307843963776526
-0.0001279840366972477,0.12888076896199457,-0.003788542755699809
-0.00012796403669724772,0.14027512033193465,-0.002091344806547885
-0.0001279440366972477,0.1741230464603272,-0.0014124656268849544
-0.0001279240366972477,0.18618765379323543,-0.0014124656268858806
-0.0001279040366972477,0.2076358446072459,-0.0024307843963761087
-0.0001278840366972477,0.2200355799215981,-0.00039414685739287377
-0.00012786403669724772,0.2491917143093992,-0.0010730260370539523
-0.0001278440366972477,0.270975033104906,0.0006241719120992069
-0.0001278240366972477,0.26695349732727824,-0.0003941468573924105
-0.0001278040366972477,0.2733209289752067,-0.0010730260370531803
-0.0001277840366972477,0.3101850069367943,0.0013030510917605939
-0.00012776403669724772,0.314541670695891,0.0013030510917605939
-0.0001277440366972477,0.3366601174728523,-5.470726756187151e-05
-0.0001277240366972477,0.32928730188053473,0.0006241719120992069
-0.0001277040366972477,0.35040036471309716,0.0013030510917604395
-0.0001276840366972477,0.36615137984213914,0.0009636115019299004
-0.00012766403669724771,0.38458341882293295,0.001642490681590979
-0.00012764403669724773,0.3865941867117543,0.0016424906815912875
-0.0001276240366972477,0.4214474967845457,0.0016424906815912875
-0.0001276040366972477,0.42345826467335224,0.002321369861252983
-0.0001275840366972477,0.4144098091737062,0.0026608094510833682
-0.0001275640366972477,0.4412200476912122,0.0026608094510833682
-0.00012754403669724772,0.4636736224496357,0.003000249040913753
-0.0001275240366972477,0.4663546463014092,0.0026608094510833682
-0.0001275040366972477,0.4928297568374687,0.003000249040914988
-0.0001274840366972477,0.49081898894866927,0.004018567810406142
-0.0001274640366972477,0.5206453792994084,0.004018567810406142
-0.00012744403669724772,0.5156184595773737,0.0033396886307450638
-0.0001274240366972477,0.5216507632438158,0.003679128220575449
-0.00012740403669724771,0.5427638260763614,0.004018567810405988
-0.0001273840366972477,0.5548284334092703,0.005036886579898069
-0.0001273640366972477,0.5782873921120989,0.004697446990067529
-0.00012734403669724772,0.5692389366124364,0.005376326169728608
-0.0001273240366972477,0.5618661210201185,0.005036886579898223
-0.0001273040366972477,0.5772820081676915,0.005036886579898223
-0.0001272840366972477,0.5772820081677034,0.0057157657595594555
-0.0001272640366972477,0.6034219907222836,0.0053763261697289165
-0.00012724403669724772,0.6332483810730227,0.0057157657595594555
-0.00012722403669724773,0.6412914526282881,0.0060552053493899945
-0.0001272040366972477,0.6613991315164433,0.0053763261697289165
-0.0001271840366972477,0.6546965718870926,0.006394644939222232
-0.0001271640366972477,0.6898850099413206,0.007752403298543462
-0.0001271440366972477,0.6925660337930712,0.007073524118882693
-0.00012712403669724772,0.6939065457189477,0.0053763261697304604
-0.0001271040366972477,0.7083170489221216,0.006734084529051691
-0.0001270840366972477,0.7247383200141132,0.007752403298542536
-0.0001270640366972477,0.7294301117546738,0.006394644939221151
-0.0001270440366972477,0.7227275521252942,0.006734084529051691
-0.00012702403669724772,0.7233978080882318,0.007752403298542845
-0.0001270040366972477,0.7565754782536763,0.008770722068035851
-0.0001269840366972477,0.7451811268837357,0.007412963708713386
-0.0001269640366972477,0.7559052222907531,0.00775240329854408
-0.0001269440366972477,0.788747764474713,0.008431282478205158
-0.00012692403669724772,0.7967908360299684,0.008770722068035697
-0.0001269040366972477,0.8112013392331472,0.00944960124769693
-0.0001268840366972477,0.8168985149181174,0.00877072206803616
-0.0001268640366972477,0.8105310832702002,0.009449601247696776
-0.0001268440366972477,0.796790836029972,0.008431282478205158
-0.00012682403669724772,0.8075149314369794,0.008091842888374619
-0.00012680403669724773,0.8175687708810491,0.009110161657865618
-0.0001267840366972477,0.8199146667513421,0.007752403298543771
-0.0001267640366972477,0.8272874823436782,0.009789040837527933
-0.0001267440366972477,0.8440438814171195,0.009789040837527933
-0.0001267240366972477,0.8467249052688713,0.009789040837527933
-0.00012670403669724772,0.8494059291206232,0.010128480427358318
-0.0001266840366972477,0.8504113130650329,0.009789040837527933
-0.0001266640366972477,0.884594367174887,0.009449601247698475
-0.0001266440366972477,0.88761051900811,0.010807359607020168
-0.0001266240366972477,0.8953184625818965,0.011146799196850707
-0.00012660403669724772,0.9137505015626819,0.011146799196850707
-0.0001265840366972477,0.8919671827672052,0.009110161657866545
-0.0001265640366972477,0.9077181978962637,0.012165117966340316
-0.0001265440366972477,0.9181071653217969,0.009449601247697703
-0.0001265240366972477,0.91710178137739,0.01046792001718932
-0.00012650403669724772,0.9181071653217969,0.01046792001718932
-0.0001264840366972477,0.917436909358862,0.010807359607019859
-0.0001264640366972477,0.9238043410067697,0.010467920017189474
-0.0001264440366972477,0.9382148442099496,0.012504557556172862
-0.0001264240366972477,0.94793355567255,0.011146799196850707
-0.00012640403669724772,0.9311771565991012,0.012165117966342323
-0.00012638403669724773,0.9579873951165995,0.010467920017190864
-0.0001263640366972477,0.9589927790610313,0.0114862387866814
-0.0001263440366972477,0.9566468831907364,0.010807359607019704
-0.0001263240366972477,0.9445822758578587,0.01046792001718932
-0.00012630403669724771,0.9640196987830594,0.011825678376511476
-0.00012628403669724772,0.9710573863939136,0.012165117966342478
-0.0001262640366972477,0.9439120198949205,0.01250455755617348
-0.0001262440366972477,0.9663655946533527,0.011486238786681709
-0.0001262240366972477,0.9670358506162867,0.011825678376512093
-0.0001262040366972477,0.9586576510795659,0.011825678376512093
-0.00012618403669724772,0.9388851001729015,0.011146799196851324
-0.0001261640366972477,0.93251766852497,0.010807359607020013
-0.0001261440366972477,0.9486038116354971,0.011146799196851633
-0.0001261240366972477,0.9583225230980885,0.012165117966342323
